analysis_id,777yxsws3lz8ddk
gene_accession_id,MGI:105073
parameter_name,Total T cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Tnni1
parameter_id,MGP_IMM_001_001
mouse_life_stage,Early adult
pvalue,0.4756495
