analysis_id,29bh297m60o0k74
parameter_id,IMPC_EYE_007_001
gene_accession_id,MGI:1345282
parameter_name,Cornea
pvalue,0.6462865
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Slc30a4
