analysis_id,49kf35c4k8856du
parameter_id,IMPC_CSD_030_001
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.3646443
gene_symbol,Ints7
gene_accession_id,MGI:1924315
parameter_name,Tremor
