analysis_id,5p2d150zul15794
parameter_id,M-G-P_016_001_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.602137
gene_accession_id,MGI:109585
parameter_name,White blood cell-count
gene_symbol,Pld1
