gene_symbol,Lpgat1
mouse_strain,C57BL
analysis_id,0q582n42k343p53
pvalue,0.4461727
gene_accession_id,MGI:2446186
mouse_life_stage,Late adult
parameter_name,Aspartate aminotransferase
parameter_id,IMPC_CBC_012_001
