parameter_name,110dB startle magnitude
gene_accession_id,MGI:1914583
gene_symbol,Stk35
parameter_id,ESLIM_011_001_006
pvalue,0.3190536
mouse_life_stage,Early adult
analysis_id,7t06p78m5kr6882
mouse_strain,C57BL
