analysis_id,f100q9ry3bgat52
mouse_strain,C57BL
gene_symbol,Rab3gap2
gene_accession_id,MGI:1916043
pvalue,0.2428835
parameter_id,JAX_ROT_002_001
mouse_life_stage,Early adult
parameter_name,Average duration
