parameter_name,Respiration Rate
mouse_strain,C57BL
pvalue,0.6327294
gene_symbol,Snrpb2
mouse_life_stage,Early adult
analysis_id,i79topmd808awji
parameter_id,IMPC_ECH_018_001
gene_accession_id,MGI:104805
