analysis_id,fzyu82m6c3e9aj9
mouse_strain,C57BL
parameter_id,TCPLA_XRY_033_001
mouse_life_stage,Early adult
pvalue,0.2114512
gene_symbol,Toporsl
gene_accession_id,MGI:1915524
parameter_name,Tibia length
