analysis_id,zef84wj8i12s3mz
mouse_life_stage,E15.5
gene_symbol,Bmi1
parameter_name,CD8 CD44-CD62L+ T cells
mouse_strain,C57BL
parameter_id,IMPC_IMM_034_001
gene_accession_id,MGI:88174
pvalue,0.1716704
