parameter_name,Neural tube closure
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,IMPC_GEL_027_001
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
analysis_id,fml9o2mif7948w3
pvalue,0.5659641
