parameter_name,DN NKT cells
analysis_id,1z54sy65rr3l34j
parameter_id,IMPC_IMM_013_001
gene_symbol,Mov10
gene_accession_id,MGI:97054
mouse_strain,C57BL
pvalue,0.3709032
mouse_life_stage,Early adult
