analysis_id,5519yqbyzz3iz59
pvalue,0.2846494
parameter_id,MGP_PBI_018_001
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_accession_id,MGI:87968
gene_symbol,Ahcy
parameter_name,Ly6Clow monocyte percentage
