gene_symbol,Cisd2
parameter_name,Lower teeth appearance
mouse_life_stage,Early adult
analysis_id,1q993zutr93eswr
gene_accession_id,MGI:1914256
pvalue,0.2377022
mouse_strain,C57BL
parameter_id,IMPC_CSD_070_001
