gene_symbol,Atg4c
analysis_id,773f047775w5744
mouse_life_stage,Early adult
parameter_id,ESLIM_001_001_117
pvalue,0.8262301
gene_accession_id,MGI:2651854
mouse_strain,C57BL
parameter_name,eye size
