analysis_id,r3nzr385641ik8c
pvalue,0.1008088
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Bmi1
parameter_id,MGP_IMM_101_001
parameter_name,KLRG1+ NK cells - % of CD45+
gene_accession_id,MGI:88174
