gene_symbol,Rufy4
pvalue,0.6726103
parameter_id,MGP_IMM_004_001
mouse_life_stage,Early adult
parameter_name,Total CD4+ T cells - % of ab T cells
mouse_strain,C57BL
gene_accession_id,MGI:3588214
analysis_id,65h7p18gc56nr55
