analysis_id,nr88e060n8i8y07
mouse_life_stage,E9.5
pvalue,0.5852776
parameter_name,Respiration Rate
gene_symbol,Ints7
mouse_strain,C57BL
gene_accession_id,MGI:1924315
parameter_id,IMPC_ECH_018_001
