analysis_id,an8q7lr394455p1
mouse_strain,C57BL
gene_symbol,Toporsl
mouse_life_stage,Early adult
gene_accession_id,MGI:1915524
pvalue,0.2098881
parameter_id,TCPLA_CSD_030_001
parameter_name,Tremor
