gene_symbol,Cldn19
mouse_life_stage,Early adult
parameter_name,Skull shape
pvalue,0.5080554
gene_accession_id,MGI:3033992
mouse_strain,C57BL
parameter_id,CCP_XRY_001_001
analysis_id,5jk44cu6064l810
