parameter_name,Startle response
mouse_strain,C57BL
gene_accession_id,MGI:1919137
pvalue,0.6303982
gene_symbol,Ppm1j
mouse_life_stage,Early adult
analysis_id,6752surs6z85b0k
parameter_id,MGP_CSD_008_001
