parameter_name,ST
analysis_id,b793o7z3478o81n
pvalue,0.8626879
parameter_id,IMPC_ECG_008_001
gene_symbol,Pld1
gene_accession_id,MGI:109585
mouse_strain,C57BL
mouse_life_stage,Early adult
