analysis_id,m4f9k2i497axd2o
gene_symbol,Prkcq
parameter_name,Effector CD4+ T helper cells - % of CD45+
parameter_id,MGP_MLN_066_001
gene_accession_id,MGI:97601
mouse_life_stage,Early adult
mouse_strain,C53BL
pvalue,0.5327114
