gene_symbol,Ift74
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914944
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
parameter_id,MGP_IMM_028_001
analysis_id,u028242c4g96gfd
pvalue,0.7983914
