parameter_id,IMPC_GPO_002_001
gene_symbol,Cntfr
pvalue,0.9027085
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,Placenta Morphology
analysis_id,fwgh9787g76jmaa
gene_accession_id,MGI:99605
