gene_symbol,Fam163a
analysis_id,zb4987sp20xnu9i
parameter_name,Macrophages - % of CD45+
pvalue,0.5808342
parameter_id,MGP_IMM_121_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3618859
