analysis_id,38278td472zw0hk
gene_symbol,Slc30a4
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_name,Iron
gene_accession_id,MGI:1345282
pvalue,0.5124701
parameter_id,IMPC_CBC_011_001
