analysis_id,1eh3md92ph440a1
parameter_id,IMPC_CSD_030_001
gene_accession_id,MGI:88461
pvalue,0.2945744
mouse_life_stage,Early adult
gene_symbol,Col6a3
parameter_name,Tremor
mouse_strain,C57BL
