gene_symbol,Rufy4
parameter_id,IMPC_XRY_025_001
pvalue,0.4876707
parameter_name,Tibia
mouse_strain,C57BL
gene_accession_id,MGI:3588214
analysis_id,r485i31nn28j0h1
mouse_life_stage,Early adult
