gene_symbol,Cd52
parameter_name,Potassium
parameter_id,GMC_906_001_005
pvalue,0.2325701
gene_accession_id,MGI:1346088
analysis_id,i50o90iaufd2285
mouse_strain,C59BL
mouse_life_stage,Early adult
