gene_symbol,Dnajc5b
mouse_strain,C57BL
parameter_name,Fusion of vertebrae
mouse_life_stage,Early adult
analysis_id,swwd08oa6n458jw
parameter_id,M-G-P_006_001_026
gene_accession_id,MGI:1913576
pvalue,0.789804
