parameter_name,Total holepokes
mouse_life_stage,E12.5
analysis_id,r438t350hyezme4
pvalue,0.4603752
mouse_strain,C57BL
gene_accession_id,MGI:97838
gene_symbol,Eprs1
parameter_id,JAXLA_HBD_001_001
