parameter_name,Respiration Rate
analysis_id,oa6xab03p69q81b
gene_accession_id,MGI:1274787
mouse_life_stage,Early adult
gene_symbol,Trdmt1
parameter_id,IMPC_ECH_018_001
pvalue,0.8299104
mouse_strain,C57BL
