analysis_id,0j2x7gfdtsr93u6
gene_symbol,Cds2
gene_accession_id,MGI:1332236
pvalue,0.2770184
mouse_strain,129SV
parameter_id,M-G-P_016_001_001
parameter_name,White blood cell-count
mouse_life_stage,Early adult
