parameter_id,IMPC_CBC_005_001
gene_accession_id,MGI:1914050
mouse_life_stage,Early adult
analysis_id,98lc4c9o50b58nw
mouse_strain,C57BL
gene_symbol,Trp53rkb
pvalue,0.8907129
parameter_name,Creatinine
