analysis_id,b43ymo0ihg286l1
pvalue,0.05344414
gene_symbol,Wars2
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,B Cells
gene_accession_id,MGI:1917810
parameter_id,IMPC_IMM_063_001
