parameter_name,Body Weight
mouse_life_stage,E12.5
pvalue,0.3771223
gene_symbol,Fgb
parameter_id,M-G-P_012_001_005
mouse_strain,C57BL
gene_accession_id,MGI:99501
analysis_id,5py1akkc6o3hb42
