analysis_id,i0g3745z167tx1x
parameter_id,MGP_MLN_031_001
mouse_life_stage,Early adult
gene_symbol,Zmynd8
pvalue,0.8206215
gene_accession_id,MGI:1918025
parameter_name,Total NK cells - % of CD45+
mouse_strain,C57BL
