gene_symbol,Lrrc69
mouse_life_stage,Early adult
parameter_name,Clavicle
parameter_id,IMPC_XRY_007_001
analysis_id,p6xdh9v43daax43
mouse_strain,C57BL
gene_accession_id,MGI:1920564
pvalue,0.4985684
