analysis_id,lqoxvfnz12vya7g
gene_accession_id,MGI:104848
mouse_strain,C57BL
parameter_name,Thoracic processes
parameter_id,IMPC_XRY_064_001
gene_symbol,Inpp1
mouse_life_stage,Early adult
pvalue,0.4269975
