parameter_name,ST
mouse_strain,C57BL
pvalue,0.7637766
gene_accession_id,MGI:1915524
gene_symbol,Toporsl
analysis_id,ac177903596r23u
parameter_id,IMPC_ECG_008_001
mouse_life_stage,Early adult
