parameter_id,JAXLA_CBC_015_001
parameter_name,Total cholesterol
mouse_strain,C57BL
gene_accession_id,MGI:1931322
analysis_id,ni0d30jppmx269q
gene_symbol,Car13
pvalue,0.2790126
mouse_life_stage,Early adult
