analysis_id,y624y10h51o571p
parameter_id,MGP_IMM_082_001
mouse_life_stage,E12.5
pvalue,0.9685926
gene_accession_id,MGI:95835
mouse_strain,C57BL
gene_symbol,Hspa5
parameter_name,Resting CD8+ T cells - % of CD45+
