parameter_id,TCPLA_CSD_030_001
gene_symbol,Kdm4c
mouse_strain,C57BL
analysis_id,693f89teb024t8x
mouse_life_stage,Early adult
parameter_name,Tremor
gene_accession_id,MGI:1924054
pvalue,0.3408745
