analysis_id,1636487scu737x7
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Rgs20
parameter_id,IMPC_ECG_003_001
gene_accession_id,MGI:1929866
pvalue,0.9818463
parameter_name,CV
