gene_symbol,Exd1
pvalue,0.4897431
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
analysis_id,03c82675f9nk311
mouse_strain,C57BL
parameter_name,BMC/Body weight
parameter_id,HRWLLA_DXA_007_001
