analysis_id,v0kk7l4k9weg465
mouse_strain,C57BL
pvalue,0.8034603
parameter_name,Coat - hair distribution - back
parameter_id,IMPC_CSD_011_001
gene_symbol,Ahcy
gene_accession_id,MGI:87968
mouse_life_stage,E12.5
