parameter_name,Percentage center time
parameter_id,IMPC_OFD_022_001
mouse_strain,C57BL
pvalue,0.5521042
gene_accession_id,MGI:108072
gene_symbol,Traf6
mouse_life_stage,Early adult
analysis_id,5pd96ggqy62p3j9
