gene_symbol,Kdm5b
mouse_strain,C57BL
pvalue,0.4357845
gene_accession_id,MGI:1922855
parameter_id,ESLIM_011_001_703
analysis_id,6cme890o84y3861
parameter_name,Prepulse inhibition - PP3
mouse_life_stage,Early adult
