gene_symbol,Lpgat1
parameter_name,IgD+ mature B cell number
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2446186
parameter_id,MGP_PBI_035_001
analysis_id,7437g92865483u4
pvalue,0.7288665
