analysis_id,6163t4tr976l436
gene_symbol,Fpgs
mouse_life_stage,Early adult
gene_accession_id,MGI:95576
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
mouse_strain,C57BL
pvalue,0.2555118
parameter_id,IMPC_IMM_004_002
