parameter_name,Joints
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_027_001
gene_accession_id,MGI:1341628
analysis_id,64rj2b0790a2kb2
pvalue,0.8720082
mouse_strain,C57BL
gene_symbol,Atrn
