gene_symbol,Ap5s1
mouse_life_stage,Early adult
parameter_name,Periphery average speed
mouse_strain,C57BL
parameter_id,JAX_OFD_013_001
analysis_id,g6i8n7073o76137
gene_accession_id,MGI:1916846
pvalue,0.6848696
