analysis_id,zh28ex3m9fy10d6
gene_accession_id,MGI:2448481
mouse_strain,C57BL
parameter_id,JAX_LDT_002_001
pvalue,0.9616488
gene_symbol,Mgst2
parameter_name,Light side time spent
mouse_life_stage,Early adult
