parameter_name,Body length
gene_symbol,Ddx27
pvalue,0.1859326
analysis_id,5986082rq5c08gz
parameter_id,IMPC_DXA_006_001
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
mouse_strain,129SV
