gene_symbol,Ahctf1
mouse_strain,C57BL
pvalue,0.3850526
mouse_life_stage,Early adult
analysis_id,1j8ca3rqog299lt
parameter_id,IMPC_CBC_006_001
parameter_name,Total protein
gene_accession_id,MGI:1915033
