gene_symbol,Cisd2
pvalue,0.7671859
analysis_id,6ulo0x563m6h703
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Aspartate aminotransferase
parameter_id,IMPC_CBC_012_001
gene_accession_id,MGI:1914256
