parameter_name,Embryo turning
mouse_life_stage,Middle aged adult
pvalue,0.8814989
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
analysis_id,05w9lzh752h1w22
mouse_strain,C57BL
parameter_id,IMPC_GEL_011_001
