gene_symbol,Pum1
parameter_name,RR
analysis_id,3023620os9m5e6w
parameter_id,IMPC_ECG_004_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4995817
gene_accession_id,MGI:1931749
