analysis_id,wnb2i9w36c8ro41
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.991375
gene_symbol,Sprr1b
parameter_name,Center permanence time
parameter_id,IMPC_OFD_016_001
gene_accession_id,MGI:106659
