analysis_id,46xbi1dwnsn673u
mouse_strain,C57BL
pvalue,0.878192
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
parameter_id,IMPC_HEM_036_001
parameter_name,Eosinophil cell count
mouse_life_stage,Early adult
