parameter_name,Center average speed
analysis_id,1c45t8z0uf85h41
mouse_strain,C57BL
gene_symbol,Rgs20
mouse_life_stage,Early adult
pvalue,0.3255194
gene_accession_id,MGI:1929866
parameter_id,JAX_OFD_017_001
