analysis_id,uq3u2t5ktj54j04
parameter_name,Chloride
parameter_id,IMPC_CBC_003_001
mouse_life_stage,Early adult
pvalue,0.3965914
gene_accession_id,MGI:1913284
mouse_strain,C57BL
gene_symbol,Psmd14
