analysis_id,8xok9n3i3r05zy0
parameter_name,Placenta Morphology
pvalue,0.3581816
mouse_life_stage,Early adult
parameter_id,IMPC_GPO_002_001
mouse_strain,C57BL
gene_accession_id,MGI:2441730
gene_symbol,Tbl1xr1
